"Form Title","Checking & Savings Accounts Practical Application"
"Form Description","Finance Jigsaw Activity assessment by Charlie Han and Anthony Gee. Students should watch the opening video, use research, and apply checking/savings account concepts to realistic decisions. Suggested video: What's the Difference Between Checking & Savings? Kal Penn Explains | Mashable - https://www.youtube.com/watch?v=7K8pDRX3oaM"
"Form Setting","Collect student names or include the required name question below. Suggested Google Forms settings: make required questions required, turn on quiz mode if your teacher wants auto-scoring, and keep paragraph questions manually graded."
"Section","Order","Question Title","Question Description","Question Type","Required","Options","Correct Answer / Expected Response","Points","Teacher Notes"
"Video and Student Info","1","Student name","Enter your full name.","Short answer","Yes","","Student provides first and last name.","0","Use this for individual accountability because each student must turn in their own work."
"Video and Student Info","2","Class period","Enter your class period or teacher's requested identifier.","Short answer","Yes","","Student provides class period.","0","Optional if Google Classroom already tracks section."
"Video and Student Info","3","Opening video confirmation","Watch the opening video before answering: https://www.youtube.com/watch?v=7K8pDRX3oaM. In one complete sentence, write one difference between checking and savings accounts from the video.","Paragraph","Yes","","Response should identify a meaningful difference such as checking is for everyday spending and bills while savings is for storing money and earning interest.","2","Manual grade for accuracy and complete sentence."
"Core Concepts","4","What is the main purpose of a checking account?","","Multiple choice","Yes","A place for everyday spending, debit card purchases, deposits, and bill payments | A long-term investment account for buying stocks | A loan that charges interest | Insurance that protects a car","A place for everyday spending, debit card purchases, deposits, and bill payments","1","Auto-grade if using quiz mode."
"Core Concepts","5","What is the main purpose of a savings account?","","Multiple choice","Yes","A place to separate money for goals or emergencies and possibly earn interest | A credit card account used to borrow money | A replacement for a paycheck | A way to avoid ever making a budget","A place to separate money for goals or emergencies and possibly earn interest","1","Auto-grade if using quiz mode."
"Core Concepts","6","Which features should someone compare before opening a checking or savings account? Select all that apply.","","Checkboxes","Yes","Monthly fees | Minimum balance requirements | ATM access and fees | APY or interest rate | Overdraft policy and fees | FDIC or NCUA insurance | The color of the debit card","Monthly fees; Minimum balance requirements; ATM access and fees; APY or interest rate; Overdraft policy and fees; FDIC or NCUA insurance","2","If Google Forms quiz mode is used, mark all correct except the debit card color option."
"Decision Making","7","Practical budget decision","You receive $250 from a weekend job. You owe a $48 phone bill this week, expect about $35 for food/transportation, and want to build emergency savings. How much would you leave in checking and how much would you move to savings? Defend your choice using at least two account features or risks.","Paragraph","Yes","","Strong answers keep enough in checking for near-term spending and move the rest to savings, while mentioning reasons such as avoiding overdrafts, separating savings from spending money, account fees, minimum balances, or emergency goals.","4","Manual grade. There is not one exact split, but the reasoning must be realistic."
"Decision Making","8","Choose the better student checking account","Bank A charges an $8 monthly fee unless you keep $500 in checking, has a $35 overdraft fee, and has only a few free ATMs. Bank B has no monthly fee, a large free ATM network, mobile deposit, and lets you turn overdraft coverage off. Which is usually better for a high school student with a small balance?","Multiple choice","Yes","Bank A | Bank B | They are exactly the same | Neither account can be used by students","Bank B","2","Follow-up explanation is in the next question."
"Decision Making","9","Explain your choice from the previous question","Use evidence from the account details to explain why your choice is better for a student.","Paragraph","Yes","","Strong answers cite lower/no monthly fees, easier ATM access, mobile deposit, and lower overdraft risk as reasons Bank B is better for most students with small balances.","3","Manual grade for evidence-based reasoning."
"Practical Application","10","Check-writing practice","You need to pay River City Utilities $42.75 on April 17, 2026 for a water bill. Write what belongs in each check field: Pay to the order of, numeric amount, written amount, and memo.","Paragraph","Yes","","Pay to the order of: River City Utilities; numeric amount: $42.75; written amount: Forty-two and 75/100 dollars; memo: water bill.","4","Manual grade. Accept equivalent capitalization and date formatting."
"Practical Application","11","Transaction register calculation","Starting checking balance: $185.40. Deposit: $62.00. Debit card purchase: $18.95. Check written: $42.75. ATM fee: $3.00. What is the ending balance?","Short answer","Yes","","$182.70","2","Auto-grade can accept 182.70 or $182.70."
"Practical Application","12","Reconciling your account","Your transaction register says $182.70, but your banking app shows $225.45 because the $42.75 check has not cleared yet. What should you do before spending more money?","Paragraph","Yes","","Strong answers say not to treat the higher app balance as spendable, subtract outstanding checks/transactions, update the register, and avoid overdrawing the account.","3","Manual grade for practical reasoning."
"Research and Critical Thinking","13","Research one real account","Find one real checking or savings account from a bank or credit union. Include the institution name, account name, monthly fee, minimum balance, APY or interest rate if listed, overdraft policy or fee if it is a checking account, and whether it is FDIC or NCUA insured. Paste the source link.","Paragraph","Yes","","Student provides a real researched account with required facts and a source link.","5","This satisfies the research requirement. Manual grade for completeness and credible source."
"Research and Critical Thinking","14","Would you recommend the account you researched?","Would you recommend that account to a high school student? Explain your answer using at least three pieces of evidence from your research.","Paragraph","Yes","","Strong answers make a recommendation and support it with at least three facts such as fees, minimum balance, APY, ATM access, overdraft risk, insurance, or student-friendly features.","5","Manual grade for critical thinking and evidence."
"Reflection","15","Confidence check","After this activity, how confident are you that you can choose between a checking and savings account?","Linear scale","Yes","1 = Not confident yet | 2 | 3 | 4 | 5 = Very confident","Student selects a number from 1 to 5.","0","Useful for lesson feedback, not assessment points."
"Reflection","16","One money habit","Write one habit you could use this month to manage checking or savings better.","Short answer","Yes","","Student gives a realistic habit such as tracking transactions, setting a savings goal, avoiding overdrafts, checking fees, or reviewing statements.","1","Manual grade for effort."
